,name,description
589,Rockstar London,
590,Route 1 Games,
591,QLOC,
592,SuperBot Entertainment,
593,Blue Fang Games,
594,Double Fine Productions,
595,38 Studios,
596,Point of View Inc.,
597,Blue Tongue,
598,Overworks,
599,Torus Games,
600,Marvelous,
601,Coresoft,
602,Ubisoft Montreal / Annecy,
603,Those Awesome Guys,
604,Media.Vision,
605,Koei,
606,1st Playable Productions / OneNine Studios,
607,Bennett Foddy,
608,Humble Hearts,
609,Buzz Monkey Software,
610,SCEA San Diego Studios,
611,Skyworks Technologies,
612,THQ,
613,Parker Bros.,
614,Neko Entertainment,
615,UDS,
616,Digital Integration,
617,Minds-Eye Productions,
618,DreamFactory,
619,Mistwalker Corporation / Artoon,
620,Magenta Software,
621,XPEC,
622,Keen Games,
623,Interactive Studios Ltd.,
624,Atomic Planet Entertainment,
625,"Mossmouth, LLC",
626,Mistwalker Corporation / Feelplus Inc.,
627,KID Corporation,
628,SCEA Bend Studio,
629,KCEK,
630,Nintendo / TNX,
631,RED Entertainment,
632,FASA Studio,
633,Runecraft,
634,Asylum Entertainment,
635,HexaDrive,
636,Shaba Games,
637,Rockstar Toronto,
638,Cooking Mama Limited,
639,Red Fly Studio,
640,"Black Lantern Studios, Inc.",
641,Hunter Studio,
642,Rage Software,
643,"Blind Squirrel Digital, Inc",
644,2K Games,
645,Big Huge Games,
646,Sony Interactive Studios America,
647,Land Ho!,
648,"Page 44 Studios, LLC",
649,HuniePot,
650,Game Refuge,
651,Tripwire Interactive,
652,Asobo Studio,
653,BlankMediaGames,
654,SUPERHOT Team,
655,Climax Entertainment,
656,Darkblack,
657,Eutechnyx,
658,Ubisoft Romania,
659,Artech Digital Entertainment,
660,Motion Twin,
661,FreeStyle Games,
662,Digital Anvil,
663,Double Helix Games,
664,Eat Sleep Play,
665,Gratuitous Games,
666,Kunos Simulazioni,
667,Funcom,
668,Runtime,
669,Big Blue Bubble Inc.,
670,Ludia Inc.,
671,Indie Built,
672,SCEE,
673,Mystique,
674,Evolution Games,
675,Pyramid/JAPAN Studio,
676,Ivory Tower,
677,PES Productions,
678,Expansive Worlds,
679,Gevo Entertainment,
680,Telenet Japan / Wolfteam,
681,Produce!,
682,Diamond Head,
683,Redbeet Interactive,
684,Gorilla Systems,
