,name,description
574,Forever Entertainment S.A.,
575,Meridian4,
576,Siberian Digital,
577,Aterdux Entertainment,
578,Daito,
579,Butterscotch Shenanigans,
580,DoubleBear Productions,
581,Uppercut Games Pty Ltd,
582,O3 Entertainment,
583,Love Conquers All Games,
584,KHB-Soft,
585,Gameloft,
586,Endless Loop Studios,
587,Humble Bundle,
588,Walter Machado,
589,Beamdog,
590,Team 17,
591,Firemint,
592,Retro Affect,
593,Somi,
594,Sekai Project,
595,Winged Cloud,
596,Reef Entertainment,
597,Indimo Labs LLC,
598,Lupus Studios Limited,
599,Extend Studio,
600,Crackshell,
601,ZOV GAME STUDIO,
602,TOHO,
603,Ocean Software,
604,"What Pumpkin Games, Inc.",
605,Biart Design Studio,
606,OneBigGame,
607,Black Shell Media,
608,5pb,
609,LVGameDev LLC,
610,Rock Path Collective,
611,Synnergy Circle Games,
612,DTP Entertainment,
613,Peace,
614,Skybound Games,
615,Black Lime Studio,
616,Groove Games,
617,Kazakov Oleg,
618,Those Awesome Guys,
619,Rusty Lake,
620,Axyos Games,
621,K Bros Games,
622,Double Fine Presents,
623,Nickervision Studios,
624,Smudged Cat Games,
625,Missing Link Games,
626,Sorath,
627,Black Eye Games,
628,Quaint Emerald,
629,Cobra Mobile,
630,Matthew Brown,
631,Paon,
632,Ghostlight,
633,Gearbox Publishing,
634,Lavaboots Studios,
635,Blender Games,
636,Neognosis,
637,Micro Cabin,
638,MinMax Games Ltd.,
639,NeocoreGames,
640,Cadenza Interactive,
641,O~3 Entertainment,
642,LAN - GAMES EOOD,
643,PlayWay,
644,GameTek,
645,Benesse,
646,Ravenscourt,
647,Asmik Corp,
648,Asmik Ace Entertainment,
649,WayForward Technologies,
650,Image Epoch,
651,Phantom EFX,
652,Soedesco,
653,Secret Stash Games,
654,Evolved Games,
655,responDESIGN,
656,Sony Computer Entertainment Europe,
657,Griffin International,
658,Panasonic Interactive Media,
659,FuRyu Corporation,
660,Hackberry,
661,Hearty Robin,
662,Nighthawk Interactive,
663,Nippon Amuse,
664,Origin Systems,
665,Telstar,
666,Unfinished Pixel,
667,Egosoft,
668,Badland Games,
669,bitComposer Games,
670,From Software,
671,MLB.com,
672,"Genius Products, Inc.",
673,Aqua Plus,
674,Happinet,
675,Flight-Plan,
676,Glams,
677,Virtual Play Games,
678,Locus,
679,Excalibur Publishing,
680,Success,
681,Warp,
682,Perfect World Entertainment,
683,Myelin Media,
684,Planet Entertainment,
685,GungHo,
686,Alternative Software,
687,Polykid,
688,Sunrise Interactive,
689,New Blood Interactive,
690,Yuke's,
691,American Technos,
692,Evolution Games,
693,Games Workshop,
694,Edia,
695,Athena,
696,Aria,
697,Media Works,
698,Fortyfive,
699,Imax,
700,Aerosoft,
701,Kaga Create,
702,Cave,
703,iWin,
704,Wired Productions,
705,Alliance Digital Media,
706,Pack-In-Video,
707,Marvel Entertainment,
708,Crimson Cow,
709,Ready at Dawn,
710,Electro Brain,
711,Asgard,
712,Ecole,
713,Yumedia,
714,HAL Laboratory,
715,"Orbital Media, Inc.",
716,System 3 Arcade Software,
717,Grand Prix Games,
718,DigiCube,
719,Midas Interactive Entertainment,
720,Funbox Media,
721,Creative Core,
722,Tequila Works,
723,Granzella,
724,SVG Distribution,
725,Tivola,
726,ASCII Media Works,
727,Rising Star,
728,Coconuts Japan,
729,eGames,
730,Blast! Entertainment Ltd,
731,Giants Software,
732,AIA,
733,Prototype,
734,Phantagram,
735,The Learning Company,
736,Anuman,
737,Vap,
738,TREVA Entertainment,
739,Misawa,
740,Perp Games,
741,Dovetail Games,
742,Klei Entertainment,
743,Genki,
744,Yeti,
745,Pow,
746,DotEmu,
747,Viacom,
748,RTL,
749,Eidos Interactive Ltd,
750,Comfort,
751,Acttil,
752,Pony Canyon,
753,Sprite,
754,Riverhillsoft,
755,Experience Inc.,
756,id Software,
757,Summitsoft,
758,Playmore,
759,Rombax Games,
760,Techland,
761,TGL,
762,Cygames,
763,CyberFront,
764,Dramatic Create,
765,Masque Publishing,
766,Societa,
767,Ascaron Entertainment,
768,Alawar Entertainment,
769,Interchannel,
770,SouthPeak Games,
771,Avanquest Software,
772,Sonnet,
773,Zushi Games,
