63;Super Smash Bros. Ultimate;super-smash-bros-ultimate;11;2018.0;NS;E10;http://www.vgchartz.com/games/boxart/full_8423750AmericaFrontccc.jpg;0;26.0
64;Diablo III;diablo-iii;4;2012.0;PC;M;http://www.vgchartz.com/games/boxart/full_diablo-iii_550AmericaFront.jpg;12;27.0
65;Pokemon FireRed / LeafGreen Version;pokmon-firered;4;2004.0;GBA;E;http://www.vgchartz.com/games/boxart/full_5668335AmericaFrontccc.jpg;0;2.0
66;Gran Turismo 5;gran-turismo-5;2;2010.0;PS3;E;http://www.vgchartz.com/games/boxart/full_gran-turismo-5_118AmericaFront.png;9;16.0
67;Super Mario 64;super-mario-64;1;1996.0;N64;E;http://www.vgchartz.com/games/boxart/full_9007863AmericaFrontccc.jpg;0;0.0
68;FIFA 18;fifa-18;0;2017.0;PS4;E;http://www.vgchartz.com/games/boxart/full_5257064AmericaFrontccc.jpg;13;28.0
69;Gran Turismo 4;gran-turismo-4;2;2005.0;PS2;E;http://www.vgchartz.com/games/boxart/full_8555381AmericaFrontccc.jpg;9;16.0
70;Animal Crossing: Wild World;animal-crossing-wild-world;8;2005.0;DS;E;http://www.vgchartz.com/games/boxart/full_8328377AmericaFrontccc.jpg;0;0.0
71;The Legend of Zelda: Breath of the Wild;the-legend-of-zelda-breath-of-the-wild;10;2017.0;NS;E10;http://www.vgchartz.com/games/boxart/full_4436858AmericaFrontccc.png;0;13.0
72;Super Mario Land 2: 6 Golden Coins;super-mario-land-2-6-golden-coins;1;1992.0;GB;E;http://www.vgchartz.com/games/boxart/full_5947486AmericaFrontccc.jpg;0;5.0
73;Grand Theft Auto IV;grand-theft-auto-iv;9;2008.0;X360;M;http://www.vgchartz.com/games/boxart/full_1182151AmericaFrontccc.jpg;4;7.0
74;Super Mario 64 DS;super-mario-64-ds;1;2004.0;DS;E;http://www.vgchartz.com/games/boxart/full_1719347AmericaFrontccc.jpg;0;0.0
75;Terraria;terraria;1;2011.0;PC;T;http://www.vgchartz.com/games/boxart/full_terraria_497AmericaFront.jpg;5;29.0
76;FIFA 17;fifa-17;0;2016.0;PS4;E;http://www.vgchartz.com/games/boxart/full_7661370AmericaFrontccc.jpg;14;30.0
77;Gran Turismo;gran-turismo;2;1998.0;PS;E;http://www.vgchartz.com/games/boxart/6215143ccc.jpg;9;16.0
78;Call of Duty: Modern Warfare 2;call-of-duty-modern-warfare-2;3;2009.0;PS3;M;http://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-2_1AmericaFront.jpg;6;17.0
79;Grand Theft Auto IV;grand-theft-auto-iv;9;2008.0;PS3;M;http://www.vgchartz.com/games/boxart/full_1729769AmericaFrontccc.jpg;4;7.0
80;Super Mario All-Stars;super-mario-all-stars;1;1993.0;SNES;E;http://www.vgchartz.com/games/boxart/8836826ccc.jpg;0;0.0
81;Call of Duty: Ghosts;call-of-duty-ghosts;3;2013.0;X360;M;http://www.vgchartz.com/games/boxart/full_8522439AmericaFrontccc.jpg;6;17.0
82;Just Dance 3;just-dance-3;6;2011.0;Wii;E10;http://www.vgchartz.com/games/boxart/full_just-dance-3_883AmericaFront.jpg;15;31.0
83;Call of Duty: Ghosts;call-of-duty-ghosts;3;2013.0;PS3;M;http://www.vgchartz.com/games/boxart/full_3698558AmericaFrontccc.jpg;6;17.0
84;Horizon: Zero Dawn;horizon-zero-dawn;9;2017.0;PS4;T;http://www.vgchartz.com/games/boxart/full_719511AmericaFrontccc.jpg;16;32.0
85;Pokemon: Let's Go, Pikachu/Eevee;" pikachueevee""";4;2018.0;NS;E;http://www.vgchartz.com/games/boxart/full_2669309AmericaFrontccc.jpg;0;2.0
86;RollerCoaster Tycoon 3;rollercoaster-tycoon-3;12;2004.0;PC;E;http://www.vgchartz.com/games/boxart/full_6560922AmericaFrontccc.jpg;17;33.0
87;Halo: Reach;halo-reach;3;2010.0;X360;M;http://www.vgchartz.com/games/boxart/full_halo-reach_6AmericaFront.jpg;3;34.0
88;Portal;portal;3;2008.0;PC;T;http://www.vgchartz.com/games/boxart/5574270ccc.jpg;18;14.0
89;Halo 4;halo-4;3;2012.0;X360;M;http://www.vgchartz.com/games/boxart/full_2236292AmericaFrontccc.png;11;35.0
90;Final Fantasy VII;final-fantasy-vii;4;1997.0;PS;T;http://www.vgchartz.com/games/boxart/1190945ccc.jpg;9;36.0
91;Mario Kart 64;mario-kart-64;2;1997.0;N64;E;http://www.vgchartz.com/games/boxart/full_8835641AmericaFrontccc.jpg;0;0.0
92;StarCraft;starcraft;12;1998.0;PC;T;http://www.vgchartz.com/games/boxart/3959329ccc.jpg;12;27.0
93;Super Smash Bros. for 3DS;super-smash-bros-for-3ds;11;2014.0;3DS;E10;http://www.vgchartz.com/games/boxart/full_4463374AmericaFrontccc.jpg;0;26.0
94;Call of Duty 4: Modern Warfare;call-of-duty-4-modern-warfare;3;2007.0;X360;M;http://www.vgchartz.com/games/boxart/full_4481633AmericaFrontccc.jpg;6;17.0
95;Gran Turismo 2;gran-turismo-2;2;1999.0;PS;E;http://www.vgchartz.com/games/boxart/45196ccc.jpg;9;16.0
96;Wii Party;wii-party;6;2010.0;Wii;E;http://www.vgchartz.com/games/boxart/full_wii-party_1AmericaFront.jpg;0;37.0
97;Call of Duty: Black Ops IIII;call-of-duty-black-ops-iiii;3;2018.0;PS4;M;http://www.vgchartz.com/games/boxart/full_6532460AmericaFrontccc.jpg;6;12.0
98;Mario Party DS;mario-party-ds;6;2007.0;DS;E;http://www.vgchartz.com/games/boxart/full_7340729AmericaFrontccc.jpg;0;38.0
99;Donkey Kong Country;donkey-kong-country;1;1994.0;SNES;E;http://www.vgchartz.com/games/boxart/6431319ccc.jpg;0;39.0
100;FIFA 19;fifa-19;0;2018.0;PS4;E;http://www.vgchartz.com/games/boxart/full_5970958AmericaFrontccc.jpg;14;40.0
102;Marvel's Spider-Man;marvels-spider-man;10;2018.0;PS4;T;http://www.vgchartz.com/games/boxart/full_7960565AmericaFrontccc.jpg;16;42.0
103;Half-Life 2;half-life-2;3;2004.0;PC;M;http://www.vgchartz.com/games/boxart/6354662ccc.jpg;7;14.0
104;The Elder Scrolls V: Skyrim;the-elder-scrolls-v-skyrim;4;2011.0;X360;M;http://www.vgchartz.com/games/boxart/full_the-elder-scrolls-v-skyrim_554AmericaFront.jpg;20;43.0
105;Mario Party 8;mario-party-8;6;2007.0;Wii;E;http://www.vgchartz.com/games/boxart/full_7451822AmericaFrontccc.jpg;0;38.0
106;Super Mario Kart;super-mario-kart;2;1992.0;SNES;E;http://www.vgchartz.com/games/boxart/full_3980311AmericaFrontccc.jpg;0;0.0
107;Grand Theft Auto V;grand-theft-auto-v;9;2014.0;XOne;M;http://www.vgchartz.com/games/boxart/full_8047513AmericaFrontccc.jpg;4;7.0
108;Uncharted 4: A Thief's End;uncharted-4-a-thiefs-end;9;2016.0;PS4;T;http://www.vgchartz.com/games/boxart/full_2804791AmericaFrontccc.jpg;16;44.0
109;Final Fantasy VIII;final-fantasy-viii;4;1999.0;PS;T;http://www.vgchartz.com/games/boxart/1184295ccc.jpg;21;36.0
110;Final Fantasy X;final-fantasy-x;4;2001.0;PS2;T;http://www.vgchartz.com/games/boxart/4912276ccc.jpg;22;36.0
111;Pokemon Black 2 and White 2;pokemon-black-2-and-white-2;4;2012.0;DS;E;http://www.vgchartz.com/games/boxart/full_3674437AmericaFrontccc.png;0;2.0
112;Call of Duty: Infinite Warfare;call-of-duty-infinite-warfare;3;2016.0;PS4;M;http://www.vgchartz.com/games/boxart/full_5706058AmericaFrontccc.jpg;6;17.0
113;Fallout 4;fallout-4;4;2015.0;PS4;M;http://www.vgchartz.com/games/boxart/full_2507140AmericaFrontccc.jpg;20;43.0
114;Mario Kart 8;mario-kart-8;2;2014.0;WiiU;E;http://www.vgchartz.com/games/boxart/full_638065AmericaFrontccc.jpg;0;23.0
115;Tekken 3;tekken-3;11;1998.0;PS;T;http://www.vgchartz.com/games/boxart/full_tekken-3_687AmericaFront.jpg;23;45.0
116;Pokemon: Ultra Sun and Ultra Moon;pokemon-ultra-sun-and-ultra-moon;4;2017.0;3DS;E;http://www.vgchartz.com/games/boxart/full_9155401AmericaFrontccc.png;0;2.0
117;Splatoon 2;splatoon-2;3;2017.0;NS;E10;http://www.vgchartz.com/games/boxart/full_7536933AmericaFrontccc.png;0;13.0
118;FIFA 16;fifa-16;0;2015.0;PS4;E;http://www.vgchartz.com/games/boxart/full_862315AmericaFrontccc.jpg;13;30.0
119;GoldenEye 007;goldeneye-007;3;1997.0;N64;T;http://www.vgchartz.com/games/boxart/2952086ccc.jpg;0;39.0
120;Star Wars Battlefront (2015);star-wars-battlefront-2015;3;2015.0;PS4;T;http://www.vgchartz.com/games/boxart/full_4873252AmericaFrontccc.jpg;14;46.0
121;FIFA 13;fifa-13;0;2012.0;PS3;E;http://www.vgchartz.com/games/boxart/full_5731689AmericaFrontccc.jpg;13;30.0
122;Halo 2;halo-2;3;2004.0;XB;M;http://www.vgchartz.com/games/boxart/2840502ccc.jpg;3;18.0
123;The Sims 3;the-sims-3;8;2009.0;PC;T;http://www.vgchartz.com/games/boxart/full_7487992AmericaFrontccc.jpg;14;47.0
124;Grand Theft Auto: Liberty City Stories;grand-theft-auto-liberty-city-stories;9;2005.0;PSP;M;http://www.vgchartz.com/games/boxart/1340019ccc.jpg;4;48.0
126;Pokemon Platinum Version;pokemon-platinum-version;4;2009.0;DS;E;http://www.vgchartz.com/games/boxart/full_2423658AmericaFrontccc.jpg;0;2.0
127;The Legend of Zelda: Ocarina of Time;the-legend-of-zelda-ocarina-of-time;13;1998.0;N64;E;http://www.vgchartz.com/games/boxart/full_1349358AmericaFrontccc.jpg;0;0.0
128;Crash Bandicoot 2: Cortex Strikes Back;crash-bandicoot-2-cortex-strikes-back;1;1997.0;PS;E;http://www.vgchartz.com/games/boxart/full_7543191AmericaFrontccc.jpg;9;44.0
129;Call of Duty: Advanced Warfare;call-of-duty-advanced-warfare;3;2014.0;PS4;M;http://www.vgchartz.com/games/boxart/full_514368AmericaFrontccc.jpg;6;20.0
130;Call of Duty: World at War;call-of-duty-world-at-war;3;2008.0;X360;M;http://www.vgchartz.com/games/boxart/full_3557116AmericaFrontccc.jpg;6;12.0
132;Super Mario Galaxy 2;super-mario-galaxy-2;1;2010.0;Wii;E;http://www.vgchartz.com/games/boxart/full_903954AmericaFrontccc.jpg;0;25.0
133;Super Smash Bros. Melee;super-smash-bros-melee;11;2001.0;GC;T;http://www.vgchartz.com/games/boxart/full_404087AmericaFrontccc.jpg;0;50.0
134;Call of Duty: Black Ops 3;call-of-duty-black-ops-3;3;2015.0;XOne;M;http://www.vgchartz.com/games/boxart/full_8414457AmericaFrontccc.jpg;6;12.0
135;Battlefield 3;battlefield-3;3;2011.0;X360;M;http://www.vgchartz.com/games/boxart/full_battlefield-3_439AmericaFront.jpg;14;51.0
